C_hi,conflict_recall,para_acceptance,coverage,accuracy,balance_score
0.3,0.9642857142857143,0.0,0.025,0.675,0.9642857142857143
0.31,0.9428571428571428,0.0,0.04,0.66,0.9428571428571428
0.32,0.9142857142857143,0.0,0.06,0.64,0.9142857142857143
0.33,0.9,0.0,0.07,0.63,0.9
0.34,0.8571428571428571,0.0,0.1,0.6,0.8571428571428571
0.35000000000000003,0.8285714285714286,0.0,0.12,0.58,0.8285714285714286
0.36000000000000004,0.7928571428571428,0.0,0.145,0.555,0.7928571428571428
0.37000000000000005,0.7357142857142858,0.0,0.185,0.515,0.7357142857142858
0.38000000000000006,0.6785714285714286,0.0,0.225,0.475,0.6785714285714286
0.39000000000000007,0.6357142857142857,0.0,0.255,0.445,0.6357142857142857
0.4000000000000001,0.6142857142857143,0.05,0.285,0.445,0.6642857142857144
0.4100000000000001,0.5928571428571429,0.5166666666666667,0.44,0.57,1.1095238095238096
0.4200000000000001,0.5571428571428572,0.9166666666666666,0.585,0.665,1.473809523809524
0.4300000000000001,0.5,0.9166666666666666,0.625,0.625,1.4166666666666665
0.4400000000000001,0.4642857142857143,0.9166666666666666,0.65,0.6,1.380952380952381
0.4500000000000001,0.4,1.0,0.72,0.58,1.4
0.46000000000000013,0.34285714285714286,1.0,0.76,0.54,1.342857142857143
0.47000000000000014,0.3,1.0,0.79,0.51,1.3
0.48000000000000015,0.2357142857142857,1.0,0.835,0.465,1.2357142857142858
0.49000000000000016,0.15714285714285714,1.0,0.89,0.41,1.157142857142857
0.5000000000000002,0.1357142857142857,1.0,0.905,0.395,1.1357142857142857
0.5100000000000002,0.12857142857142856,1.0,0.91,0.39,1.1285714285714286
0.5200000000000002,0.05714285714285714,1.0,0.96,0.34,1.0571428571428572
0.5300000000000002,0.05,1.0,0.965,0.335,1.05
0.5400000000000003,0.04285714285714286,1.0,0.97,0.33,1.042857142857143
0.5500000000000003,0.03571428571428571,1.0,0.975,0.325,1.0357142857142858
0.5600000000000003,0.02142857142857143,1.0,0.985,0.315,1.0214285714285714
0.5700000000000003,0.014285714285714285,1.0,0.99,0.31,1.0142857142857142
0.5800000000000003,0.007142857142857143,1.0,0.995,0.305,1.0071428571428571
0.5900000000000003,0.0,1.0,1.0,0.3,1.0
