example_id,label,subset_type,C,M,absM,gisr,risk_score,decision,abstain,perm_proxy_mad,n_evidence
ex_001,0,unknown,0.49609375,2.40625,2.40625,8.0,0.34765625,abstain_conflict,True,0.0,3
ex_002,0,unknown,0.4765625,2.3125,2.3125,7.6875,0.333984375,abstain_conflict,True,0.0,3
ex_003,0,unknown,0.59375,2.53125,2.53125,8.4375,0.416015625,abstain_conflict,True,0.0,3
ex_004,0,unknown,0.44921875,2.1875,2.1875,7.28125,0.314453125,abstain_conflict,True,0.0,3
ex_005,0,unknown,0.53125,2.21875,2.21875,7.375,0.37109375,abstain_conflict,True,0.0,3
ex_006,1,unknown,0.443359375,3.421875,3.421875,8.5625,0.310546875,abstain_conflict,True,0.0,4
ex_007,0,unknown,0.396484375,3.234375,3.234375,8.0625,0.27734375,abstain_conflict,True,0.0,4
ex_008,0,unknown,0.57421875,2.5625,2.5625,8.5,0.40234375,abstain_conflict,True,0.0,3
ex_009,0,unknown,0.53515625,2.5625,2.5625,8.5,0.375,abstain_conflict,True,0.0,3
ex_010,0,unknown,0.55859375,2.46875,2.46875,8.1875,0.390625,abstain_conflict,True,0.0,3
ex_011,0,unknown,0.4375,2.34375,2.34375,7.78125,0.306640625,abstain_conflict,True,0.0,3
ex_012,0,unknown,0.55078125,2.296875,2.296875,7.625,0.384765625,abstain_conflict,True,0.0,3
ex_013,0,unknown,0.380859375,2.578125,2.578125,8.5625,0.265625,abstain_conflict,True,0.0,3
ex_014,0,unknown,0.48046875,2.359375,2.359375,7.84375,0.3359375,abstain_conflict,True,0.0,3
ex_015,0,unknown,0.51953125,2.578125,2.578125,8.5625,0.36328125,abstain_conflict,True,0.0,3
ex_016,0,unknown,0.5703125,2.28125,2.28125,7.59375,0.3984375,abstain_conflict,True,0.0,3
ex_017,0,unknown,0.60546875,2.5625,2.5625,8.5,0.423828125,abstain_conflict,True,0.0,3
ex_018,0,unknown,0.435546875,2.671875,2.671875,8.875,0.3046875,abstain_conflict,True,0.0,3
ex_019,1,unknown,0.5390625,2.5,2.5,8.3125,0.376953125,abstain_conflict,True,0.0,3
ex_020,0,unknown,0.59765625,2.375,2.375,7.90625,0.41796875,abstain_conflict,True,0.0,3
